vote_event_id,voter_id,option
48710,4905,yes
48710,5656,abstain
48710,4522,yes
48710,5816,yes
48710,5794,abstain
48710,5746,abstain
48710,5754,abstain
48710,4913,yes
48710,4915,yes
48710,4919,yes
48710,5808,yes
48710,4921,abstain
48710,4923,yes
48710,5728,yes
48710,5766,abstain
48710,5357,yes
48710,5772,abstain
48710,4931,abstain
48710,5738,yes
48710,5788,abstain
48710,5736,yes
48710,5806,yes
48710,5818,abstain
48710,4316,yes
48710,5748,abstain
48710,5734,yes
48710,5782,no
48710,4350,yes
48710,5756,no
48710,3925,yes
48710,5774,no
48710,5792,no
48710,4941,not voting
48710,4943,abstain
48710,5732,yes
48710,5730,yes
48710,5802,no
48710,5784,no
48712,5800,yes
48712,5760,yes
48712,5812,yes
48712,5814,yes
48712,5798,yes
48712,5786,yes
48712,4873,yes
48712,4342,yes
48712,5762,yes
48712,4879,yes
48712,5810,yes
48712,5758,yes
48712,5742,yes
48712,5768,yes
48712,5770,yes
48712,5752,yes
48712,5744,yes
48712,5776,yes
48712,4895,yes
48712,5790,yes
48712,5660,yes
48712,5740,yes
48712,5796,yes
48712,5764,yes
48712,5778,yes
48712,5750,yes
48712,5780,yes
48712,4905,yes
48712,5656,yes
48712,4522,yes
48712,5816,yes
48712,5794,yes
48712,5746,yes
48712,5754,yes
48712,4913,yes
48712,4915,yes
48712,4919,yes
48712,5808,abstain
48712,4921,yes
48712,4923,yes
48712,5728,yes
48712,5766,yes
48712,5357,yes
48712,5772,yes
48712,4931,yes
48712,5738,yes
48712,5788,yes
48712,5736,yes
48712,5806,abstain
48712,5818,yes
48712,4316,yes
48712,5748,yes
48712,5734,yes
48712,5782,yes
48712,4350,yes
48712,5756,abstain
48712,3925,yes
48712,5774,yes
48712,5792,yes
48712,4941,not voting
48712,4943,yes
48712,5732,yes
48712,5730,yes
48712,5802,yes
48712,5784,yes
48714,5800,yes
48714,5760,yes
48714,5812,yes
48714,5814,yes
48714,5798,yes
48714,5786,yes
48714,4873,yes
48714,4342,yes
48714,5762,yes
48714,4879,yes
48714,5810,yes
48714,5758,yes
48714,5742,yes
48714,5768,yes
48714,5770,yes
48714,5752,yes
48714,5744,yes
48714,5776,yes
48714,4895,yes
48714,5790,yes
48714,5660,yes
48714,5740,yes
48714,5796,yes
48714,5764,yes
48714,5778,yes
48714,5750,yes
48714,5780,yes
48714,4905,yes
48714,5656,yes
48714,4522,yes
48714,5816,yes
48714,5794,yes
48714,5746,yes
48714,5754,yes
48714,4913,yes
48714,4915,yes
48714,4919,yes
48714,5808,yes
48714,4921,yes
48714,4923,yes
48714,5728,yes
48714,5766,yes
48714,5357,yes
48714,5772,yes
48714,4931,yes
48714,5738,yes
48714,5788,yes
48714,5736,yes
48714,5806,yes
48714,5818,yes
48714,4316,yes
48714,5748,yes
48714,5734,yes
48714,5782,yes
48714,4350,yes
48714,5756,yes
48714,3925,yes
48714,5774,yes
48714,5792,yes
48714,4941,yes
48714,4943,yes
48714,5732,yes
48714,5730,yes
48714,5802,yes
48714,5784,yes
48716,5800,yes
48716,5760,yes
48716,5812,abstain
48716,5814,abstain
48716,5798,yes
48716,5786,yes
48716,4873,yes
48716,4342,yes
48716,5762,yes
48716,4879,abstain
48716,5810,abstain
48716,5758,yes
48716,5742,yes
48716,5768,yes
48716,5770,yes
48716,5752,yes
48716,5744,yes
48716,5776,yes
48716,4895,abstain
48716,5790,yes
48716,5660,yes
48716,5740,yes
48716,5796,yes
48716,5764,yes
48716,5778,yes
